system,operations,time_ms,ops_per_sec,memory_mb,final_length
Automerge,1000,231,4329,6.67,964
Automerge,5000,882,5668.9,20.39,3472
Automerge,10000,2027,4933.4,-119.56,6980
Automerge,20000,6037,3312.9,-50.65,14302
Automerge,30000,12010,2497.9,-0.86,19252
Automerge,40000,32722,1222.4,0.18,24700
Automerge,50000,49029,1019.8,0.04,32800
Yjs,1000,158,6329.1,0.47,964
Yjs,5000,428,11682.2,0.88,3472
Yjs,10000,613,16313.2,-144.94,6980
Yjs,20000,872,22935.8,1.81,14302
Yjs,30000,1268,23659.3,1.55,19252
Yjs,40000,1658,24125.5,1.48,24700
Yjs,50000,2191,22820.6,1.91,32800
Loro,1000,19,52631.6,0.09,964
Loro,5000,49,102040.8,0.06,3472
Loro,10000,66,151515.2,0.04,6980
Loro,20000,92,217391.3,-145.87,14302
Loro,30000,180,166666.7,0.02,19252
Loro,40000,288,138888.9,0,24700
Loro,50000,221,226244.3,0.02,32800
LoroArray,1000,27,37037,0.1,964
LoroArray,5000,73,68493.2,0.08,3472
LoroArray,10000,174,57471.3,0.07,6980
LoroArray,20000,146,136986.3,-145.87,14302
LoroArray,30000,160,187500,0.04,19252
LoroArray,40000,237,168776.4,0,24700
LoroArray,50000,281,177935.9,0.03,32800
